seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
0,0,5.560385212081625,60,1.0808471679687501,3.198876953125,-9.267053222656251,-71.820068359375,1.35650634765625,51.3336181640625
0.08333333333333333,1.6380551249999984,5.581289186527339,60,0.7865600585937501,1.2507202148437502,-6.47611083984375,-71.40350341796875,20.59326171875,46.9970703125
0.16666666666666666,1.2402417374999983,5.591777078848947,60,2.6719116210937504,1.284814453125,-7.8973022460937505,31.58416748046875,26.019287109375,37.2344970703125
0.25,1.357245675,5.602288980981083,60,4.0733642578125,3.7156738281250004,-10.529138183593751,67.5262451171875,33.538818359375,-5.169677734375
0.3333333333333333,0.421214174999999,5.619862322348128,60,0.9755737304687501,2.8136718750000003,-8.88543701171875,18.53179931640625,3.50341796875,-46.142578125
0.4166666666666667,1.1466385874999978,5.637502765613398,60,1.8674072265625001,2.6390136718750004,-8.381799316406251,25.85906982421875,10.37139892578125,-27.5146484375
0.5,8.5412874375,5.658760232865834,60,2.44222412109375,3.08822021484375,-9.644482421875,47.8302001953125,-27.65350341796875,-36.39068603515625
0.5833333333333334,31.450658399999995,5.665867686680741,60,1.77230224609375,2.82982177734375,-9.01822509765625,39.44549560546875,-17.31414794921875,-39.2425537109375
0.6666666666666666,36.926442675,5.694406099557752,60,1.9768676757812502,2.1616943359375003,-9.7330078125,22.515869140625,-3.0548095703125,-27.67486572265625
0.75,35.5925977875,5.7087406967808825,60,1.7513671875,1.378125,-9.0810302734375,10.8734130859375,5.7037353515625,-28.6468505859375
0.8333333333333334,28.97017492499999,5.715924401319408,60,1.10238037109375,2.4583740234375,-9.819140625000001,15.96832275390625,-5.52215576171875,-3.38592529296875
0.9166666666666666,28.829770199999995,5.7339316472155355,60,1.83809814453125,1.7059082031250001,-9.398645019531251,1.8798828125,-22.8790283203125,25.98724365234375
1,28.455357599999992,5.7483869376198005,60,2.13597412109375,1.9948120117187502,-9.8777587890625,9.64508056640625,-49.25079345703125,15.4876708984375
1.0833333333333333,27.449123737499992,5.759257364889386,60,0.5873779296875,3.07625732421875,-9.35318603515625,0.73699951171875,-45.758056640625,-5.50079345703125
1.1666666666666667,22.277549699999998,5.773789988603667,60,0.68607177734375,2.60372314453125,-9.721643066406251,2.36053466796875,-43.86749267578125,14.5263671875
1.25,16.497555187499998,5.792018187969463,60,-0.7901489257812501,2.4954589843750004,-9.589453125,13.4796142578125,-38.8153076171875,19.74945068359375
1.3333333333333333,14.812698487499997,5.813983925749536,60,-0.2548095703125,0.5191894531250001,-9.14503173828125,1.50604248046875,-15.936279296875,21.9818115234375
1.4166666666666667,18.486622124999997,5.839737909303924,60,-0.14295654296875002,1.7717041015625001,-9.405224609375,23.18878173828125,2.3712158203125,0.88653564453125
1.5,22.347752062499996,5.847121464573406,60,-1.30634765625,1.4822021484375,-9.261669921875,20.9564208984375,-17.8802490234375,-18.55316162109375
1.5833333333333333,30.32742059999999,5.858217923653022,60,-0.5514892578125,1.25191650390625,-9.6959228515625,16.11785888671875,-11.62109375,4.90264892578125
1.6666666666666667,33.81413793749999,5.88048710895314,60,0.055029296875,-0.045458984375000004,-8.8178466796875,3.9093017578125,4.28314208984375,-13.29803466796875
1.75,31.73146784999999,5.89912271970195,60,-0.7303344726562501,-0.33197021484375,-9.532031250000001,26.8310546875,-39.85137939453125,-38.02490234375
1.8333333333333333,27.19171507499999,5.917829488509417,60,-1.2094482421875001,1.09041748046875,-10.004565429687501,24.3316650390625,-22.3876953125,-29.2877197265625
1.9166666666666667,24.547426087499996,5.925332181116902,60,-0.9701904296875,0.7895507812500001,-9.5607421875,-9.6343994140625,22.69744873046875,5.60760498046875
2,24.8984379,5.932846319911468,60,0.19858398437500002,0.7775878906250001,-9.639697265625001,-7.85064697265625,14.95361328125,5.00946044921875
2.0833333333333335,24.102811124999995,5.947909005938182,60,-0.370849609375,0.5132080078125001,-9.22637939453125,-6.80389404296875,-6.54754638671875,-14.64385986328125
2.1666666666666665,23.166779624999993,5.963017686608886,60,-0.00478515625,0.189013671875,-9.9052734375,-0.18157958984375,-9.21783447265625,-13.81072998046875
2.25,19.960871737499996,5.9743794655684965,60,-0.86671142578125,0.9677978515625001,-9.464440917968751,-6.39801025390625,11.05499267578125,-20.98846435546875
2.3333333333333335,18.837633937499998,5.981968431418237,60,-0.28292236328125003,0.9994995117187501,-9.94056396484375,0.2777099609375,3.21502685546875,-5.20172119140625
2.4166666666666665,18.580225274999997,5.9895689750744285,60,-0.44143066406250003,0.5479003906250001,-9.240136718750001,-11.663818359375,13.1378173828125,-6.65435791015625
2.5,18.627026849999996,6.0009915375914815,60,-0.1471435546875,0.75186767578125,-9.472216796875001,-5.62896728515625,-6.22711181640625,-8.7158203125
2.5833333333333335,19.235447324999996,6.020087281432639,60,0.18781738281250002,0.9857421875000001,-9.780261230468751,-19.866943359375,16.69464111328125,-5.62896728515625
