seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
0,0,5.560385212,60,1.080847168,3.198876953,-9.267053223,-71.82006836,1.356506348,51.33361816
1,8.541287438,5.658760233,60,2.442224121,3.088220215,-9.644482422,47.8302002,-27.65350342,-36.39068604
2,22.34775206,5.847121465,60,-1.306347656,1.482202148,-9.261669922,20.9564209,-17.88024902,-18.55316162
3,18.62702685,6.000991538,60,-0.147143555,0.751867676,-9.472216797,-5.628967285,-6.227111816,-8.715820313
4,17.29318196,6.120566842,60,1.081445313,2.106066895,-9.399243164,-6.47277832,-5.351257324,9.271240234
5,33.41632455,6.195263787,60,2.031298828,4.098486328,-8.566625977,-18.68133545,35.21575928,19.12994385
6,20.33528434,6.295211917,60,1.119128418,2.455383301,-8.87467041,3.706359863,-9.324645996,-10.9375
7,33.60353085,6.384755622,60,4.195983887,3.276635742,-7.990014648,-18.06182861,69.75860596,26.26495361
8,31.49745998,6.459143778,60,-2.433850098,2.092907715,-7.932592773,3.41796875,-13.76800537,-1.271057129
9,25.60046153,6.551459623,60,0.641809082,0.340942383,-9.785644531,7.081604004,4.389953613,-6.088256836
10,13.59585754,6.619577439,60,0.628649902,1.016845703,-9.86998291,0.053405762,-11.67449951,-5.361938477
11,10.88136619,6.675538134,60,-0.75246582,2.281921387,-9.363952637,-0.277709961,-11.22589111,-1.473999023
12,16.56775755,6.732056095,60,-0.007775879,2.732922363,-9.158190918,-24.34234619,-8.139038086,-10.29663086
13,27.5193261,6.789136872,60,-0.763830566,2.209545898,-8.978149414,8.288574219,-8.512878418,-1.516723633
14,22.20734734,6.824545673,60,-0.92532959,2.158105469,-9.450085449,8.758544922,-6.65435791,-9.516906738
15,20.68629615,6.900510121,60,-0.279333496,3.680981445,-8.754443359,1.345825195,-50.97045898,4.037475586
16,34.30555448,6.959268391,60,-1.973876953,1.25670166,-8.739489746,10.08300781,8.972167969,9.281921387
17,28.92337335,7.018611785,60,1.120922852,3.346020508,-8.207739258,-0.886535645,-82.85369873,-22.14202881
18,17.4101859,7.073914683,60,-1.099389648,2.216125488,-8.922521973,6.216430664,0.277709961,-10.43548584
19,15.65512684,7.134399745,60,-1.635327148,1.540222168,-9.676782227,5.799865723,-7.626342773,-13.24462891
20,21.5287245,7.190766577,60,-2.104272461,1.388891602,-6.60949707,-40.06500244,-28.83911133,-31.77642822
21,24.59422766,7.233381337,60,-0.946862793,1.725646973,-9.096582031,0.619506836,-7.797241211,-0.416564941
22,32.08247966,7.285864613,60,-1.732226563,1.918847656,-9.086413574,15.27404785,-13.81072998,-4.315185547
23,26.13867964,7.343623203,60,-1.96550293,1.929016113,-8.677880859,-1.698303223,23.27423096,-13.84277344
24,24.43042215,7.377560493,60,-0.413916016,1.77947998,-10.0619873,1.954650879,-1.217651367,2.008056641
25,20.24168119,7.445980719,60,-0.444421387,1.742993164,-9.885534668,3.129577637,-3.460693359,2.403259277
26,12.05140556,7.47552792,60,-0.615490723,1.955334473,-9.28918457,2.264404297,-10.89477539,-0.021362305
27,13.87666699,7.515134977,60,-1.305749512,1.831518555,-9.935778809,1.954650879,-0.469970703,-0.331115723
28,13.31504809,7.535029259,60,-1.731628418,2.241845703,-9.134863281,3.55682373,-4.624938965,-4.998779297
29,11.39618351,7.575000251,60,-2.30345459,1.811779785,-9.171948242,-1.623535156,-6.953430176,3.503417969
30,20.28848276,7.635415606,60,-2.09230957,2.35369873,-8.966784668,8.02154541,-0.042724609,-0.224304199
31,14.55528983,7.696386096,60,-1.716674805,2.31003418,-9.045141602,2.937316895,-1.164245605,-0.961303711
32,30.77203556,7.768226772,60,-2.083935547,1.689160156,-9.295166016,-6.280517578,2.467346191,-6.846618652
33,24.24321585,7.794070512,60,-1.862023926,2.033691406,-9.14263916,6.675720215,-8.961486816,-8.822631836
34,11.9812032,7.85127463,60,-1.418200684,1.787255859,-9.265258789,0.416564941,-3.471374512,-3.952026367
35,19.56305835,7.866959173,60,-1.752563477,2.466149902,-8.690441895,2.424621582,-4.357910156,-5.10559082
36,29.11057965,7.924776992,60,-1.512109375,2.08572998,-9.209631348,3.952026367,-3.364562988,-4.208374023
37,13.52565518,7.983081621,60,-1.32668457,2.232873535,-9.345410156,-1.142883301,-6.803894043,-4.635620117
38,21.59892686,8.03115036,60,-1.400256348,2.214929199,-9.201257324,-2.520751953,-2.221679688,1.837158203
39,13.59585754,8.063379872,60,-1.189111328,1.752563477,-9.795214844,1.559448242,-5.992126465,-3.674316406
40,13.15124258,8.106582479,60,-0.908581543,1.765124512,-9.926806641,2.691650391,-5.735778809,-3.59954834
41,12.21521108,8.128282774,60,-1.576708984,2.262182617,-8.801696777,0.224304199,-5.361938477,-3.503417969
42,16.14654338,8.188300863,60,-1.412219238,2.080944824,-9.039160156,-0.213623047,-5.041503906,0.576782227
43,15.86573393,8.204756957,60,-1.170568848,1.717871094,-9.777868652,3.108215332,-5.522155762,-4.315185547
44,10.27294571,8.248824286,60,-1.291394043,1.596447754,-9.607995605,-5.661010742,-4.443359375,4.614257813
45,16.45075361,8.270958924,60,-1.861425781,2.58996582,-8.691040039,0.309753418,-5.030822754,-2.883911133
46,11.48978666,8.321009295,60,-1.661645508,2.331567383,-8.890820313,1.153564453,-6.045532227,-4.122924805
47,12.94063549,8.365787673,60,-1.447509766,1.693347168,-9.738989258,2.702331543,-6.51550293,-4.859924316
48,13.31504809,8.399551101,60,-1.11673584,1.695141602,-9.756335449,5.97076416,-7.754516602,-5.009460449
49,13.8532662,8.427805484,60,-1.804602051,2.176647949,-8.945849609,2.178955078,-4.689025879,-2.435302734
50,15.86573393,8.473237072,60,-1.773498535,2.063000488,-9.24552002,1.057434082,-4.229736328,-2.809143066
51,17.43358669,8.507493029,60,-1.580297852,1.126904297,-9.688146973,-1.3671875,-5.575561523,-2.157592773
52,16.05294023,8.541906008,60,-1.347619629,2.000793457,-9.55177002,-0.053405762,-3.108215332,-3.05480957
53,13.24484573,8.57647673,60,-1.251318359,1.931408691,-9.439318848,3.022766113,-5.78918457,0.54473877
54,22.69876388,8.622817655,60,-1.992419434,2.403942871,-8.930895996,2.947998047,-5.426025391,-4.988098145
55,20.10127646,8.675290081,60,-1.56295166,2.01574707,-9.170153809,1.196289063,-6.024169922,-1.602172852
56,16.35715046,8.704597344,60,-1.354797363,1.527062988,-9.792822266,1.196289063,-3.941345215,-2.136230469
57,21.80953395,8.739913813,60,-1.814770508,2.041467285,-8.960803223,0.50201416,-6.600952148,-6.109619141
58,20.9671056,8.787254388,60,-1.540222168,1.954736328,-9.432141113,4.486083984,-6.387329102,-6.163024902
59,16.12314259,8.811033147,60,-1.379321289,1.88236084,-9.815551758,-4.24041748,-4.24041748,-0.096130371
60,25.76426704,8.84085873,60,-1.388293457,1.818359375,-9.422570801,6.269836426,-8.769226074,-7.19909668
61,18.62702685,8.888816726,60,-1.101782227,1.504931641,-9.949536133,-1.036071777,-5.65032959,-0.459289551
62,16.38055125,8.924977624,60,-1.32130127,1.578503418,-9.759924316,3.27911377,-6.141662598,-4.026794434
63,16.14654338,8.955238292,60,-1.666430664,1.513903809,-9.116918945,-0.608825684,-2.659606934,-2.980041504
64,16.52095598,9.003895881,60,-1.678393555,2.289697266,-9.00925293,1.441955566,-4.774475098,-2.018737793
65,14.71909534,9.009998968,60,-1.273449707,1.555773926,-9.960302734,2.264404297,-4.795837402,-2.755737305
66,14.53188904,9.058991497,60,-1.337451172,1.563549805,-9.778466797,0.299072266,-4.432678223,-3.471374512
67,14.18087723,9.077440853,60,-1.743591309,2.18861084,-8.731713867,3.257751465,-4.774475098,-3.09753418
68,12.65982604,9.102105712,60,-1.485192871,1.981054688,-9.430944824,2.349853516,-5.78918457,-2.947998047
69,13.36184966,9.133042724,60,-1.4546875,1.628747559,-9.683361816,2.424621582,-5.543518066,-3.204345703
