seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),,,
74,34.84377259,8.348963775,30,7.992407227,-3.91784668,3.95612793,9.239196777,19.99511719,-4.742431641,,,
75,34.70336786,8.371404193,30,7.479797363,-4.388586426,5.304943848,-0.256347656,29.50134277,-20.47576904,,,
76,35.31178834,8.399551101,30,7.920629883,-4.143347168,3.709094238,6.01348877,-9.5703125,-3.23638916,,,
77,33.15891589,8.416490807,30,8.149121094,-4.117626953,3.651074219,7.391357422,-8.758544922,-8.88671875,,,
78,33.65033243,8.433469294,30,8.115026855,-4.255200195,3.301159668,7.391357422,-9.004211426,-5.938720703,,,
79,31.89527336,8.433469294,30,6.826623535,-3.198278809,5.513098145,16.41693115,-20.32623291,-18.75610352,,,
80,26.32588594,8.473237072,30,7.339233398,-2.005578613,6.292480469,3.118896484,-6.355285645,-10.84136963,,,
81,17.24638039,8.55341202,30,7.296166992,-1.117333984,6.548486328,7.081604004,-6.066894531,-8.117675781,,,
82,19.11844339,8.628630164,30,7.920031738,0.232080078,6.938476563,43.94226074,24.41711426,14.44091797,,,
83,9.149707913,8.681142601,30,6.319396973,-0.584985352,7.51628418,5.810546875,-0.13885498,2.691650391,,,
84,14.7892977,8.74581561,30,6.864904785,-1.237561035,7.463049316,8.598327637,-2.809143066,-1.22833252,,,
85,30.91244029,8.793192282,30,6.559851074,-2.305249023,4.986132813,0.758361816,-44.98901367,-24.23553467,,,
86,38.44749386,8.846837499,30,8.942260742,-1.015649414,3.101977539,10.2432251,6.558227539,2.253723145,,,
87,38.79850568,8.870798199,30,7.473815918,-3.414208984,4.998693848,-10.64910889,3.482055664,-7.412719727,,,
88,36.76263716,8.912905612,30,6.94864502,-4.42208252,5.312719727,5.746459961,-16.22467041,-9.826660156,,,
89,37.90927575,8.906876503,30,8.214318848,-3.478808594,4.705004883,8.149719238,13.71459961,3.41796875,,,
90,35.33518913,8.912905612,30,6.956420898,-4.26776123,5.549584961,6.430053711,2.531433105,-11.39678955,,,
91,35.68620094,8.906876503,30,8.328564453,-3.519482422,4.851550293,16.01104736,-13.76800537,-0.341796875,,,
92,34.14174896,8.918939317,30,8.424267578,-2.725744629,4.261779785,5.458068848,-18.49975586,4.721069336,,,
93,37.6284663,8.918939317,30,6.222497559,-3.721655273,5.790039063,14.67590332,-35.20507813,-16.66259766,,,
94,34.0715466,8.924977624,30,6.638806152,-3.27902832,7.03059082,12.20855713,-13.11645508,-4.64630127,,,
95,37.44126,8.949176928,30,6.064587402,-3.344226074,6.965991211,1.014709473,-14.24865723,-2.040100098,,,
96,38.89210883,8.955238292,30,7.411608887,-3.181530762,5.513696289,4.165649414,-15.70129395,-7.604980469,,,
97,35.82660566,8.967374887,30,6.360070801,-3.071472168,4.894018555,30.98602295,-29.49066162,-5.351257324,,,
98,34.28215369,8.985614506,30,6.029296875,-3.537426758,6.500634766,-6.953430176,-2.606201172,-0.736999512,,,
99,33.43972534,9.003895881,30,6.97376709,-3.861621094,5.848059082,1.335144043,-9.741210938,-0.534057617,,,
100,37.0668474,9.003895881,30,6.690246582,-3.972277832,6.384594727,8.651733398,1.602172852,-11.25793457,,,
101,34.32895526,9.028336166,30,6.543701172,-3.679785156,6.346911621,2.862548828,-5.10559082,-6.483459473,,,
102,35.73300251,9.040584281,30,6.203356934,-3.350805664,6.437231445,6.483459473,2.520751953,-13.27667236,,,
103,31.89527336,9.058991497,30,7.025805664,-3.676794434,6.130383301,10.10437012,-15.81878662,-14.85748291,,,
