seconds,temp (C),motor (%),force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
56,6.96381242,30,40.90457655,-9.181518555,0.820654297,-2.656958008,6.33392334,-6.419372559,-5.030822754
57,6.986584591,30,43.9934805,-9.179125977,0.805700684,-2.537927246,7.273864746,-7.209777832,-3.749084473
58,7.036989909,30,45.53793248,-9.076245117,0.903796387,-2.459570313,2.360534668,-8.630371094,-5.201721191
59,7.06466237,30,43.057449,-9.273632813,1.114343262,-2.392578125,5.78918457,-6.707763672,-5.778503418
60,7.087819626,30,43.87647656,-9.340026855,1.117333984,-2.530151367,6.782531738,-5.693054199,-5.97076416
61,7.115725081,30,46.09955138,-9.318493652,0.877478027,-2.482897949,5.917358398,-6.451416016,-6.387329102
62,7.14375845,30,44.88271043,-9.280810547,0.952246094,-2.336352539,3.866577148,-6.996154785,-5.703735352
63,7.171920319,30,45.21032145,-9.323278809,1.159802246,-2.235864258,6.494140625,-7.914733887,-5.276489258
64,7.186049624,30,46.45056319,-9.093591309,1.311730957,-2.332763672,6.857299805,-6.611633301,-3.952026367
65,7.228631914,30,45.98254744,-9.028991699,1.201074219,-2.308837891,5.928039551,-6.921386719,-4.64630127
66,7.247651345,30,45.77194035,-9.365148926,1.293786621,-2.339941406,4.827880859,-8.256530762,-6.750488281
67,7.281075202,30,46.52076555,-9.356774902,1.290795898,-2.159899902,5.703735352,-6.398010254,-5.586242676
68,7.30025477,30,43.22125451,-9.230566406,1.345825195,-2.269958496,6.632995605,-7.487487793,-4.539489746
69,7.32431161,30,44.7423057,-9.52545166,1.245336914,-1.97746582,5.97076416,-6.686401367,-5.661010742
70,7.343623203,30,49.02464981,-9.43034668,1.423583984,-2.260388184,5.415344238,-7.188415527,-5.255126953
71,7.382423475,30,50.10108604,-9.447094727,1.33984375,-1.99720459,3.620910645,-7.135009766,-5.83190918
72,7.406794067,30,43.97007971,-9.326867676,1.278234863,-1.88236084,5.78918457,-7.434082031,-7.070922852
73,7.426357524,30,31.05284501,-9.335241699,1.240551758,-1.902697754,7.65838623,-6.045532227,-5.639648438
74,7.44106931,30,49.09485218,-9.242529297,1.39128418,-1.789050293,5.618286133,-6.419372559,-5.628967285
75,7.470593998,30,46.31015846,-9.357971191,1.12989502,-1.671813965,5.532836914,-5.201721191,-5.767822266
76,7.495301259,30,45.18692066,-9.444702148,1.229187012,-1.846472168,5.201721191,-7.711791992,-5.543518066
77,7.525074536,30,45.8655435,-9.268249512,1.32130127,-2.237658691,5.020141602,-4.934692383,-5.863952637
78,7.544999168,30,43.89987735,-9.371130371,1.115539551,-1.740600586,0.694274902,-4.859924316,-7.765197754
79,7.575000251,30,43.82967499,-9.684558105,0.778186035,-1.232775879,4.742431641,-4.261779785,-6.953430176
80,7.590052323,30,42.6830364,-9.523657227,0.88046875,-1.086230469,8.299255371,-7.83996582,-5.447387695
81,7.615215723,30,47.01218209,-9.667810059,0.70880127,-0.904394531,5.618286133,-6.301879883,-5.682373047
82,7.63035986,30,49.96068131,-9.395056152,0.812280273,-1.407434082,7.797241211,-8.02154541,-5.490112305
83,7.665831142,30,48.83744351,-9.431542969,0.830822754,-1.197485352,8.245849609,-8.929443359,-5.500793457
84,7.691283895,30,46.31015846,-9.534423828,0.756054688,-1.12331543,6.900024414,-8.865356445,-4.956054688
85,7.701492188,30,47.90141201,-9.388476563,0.74050293,-0.852355957,6.771850586,-5.084228516,-6.665039063
86,7.737344016,30,47.33979311,-9.454272461,0.598144531,-0.849963379,6.077575684,-5.009460449,-6.024169922
87,7.757916823,30,49.44586399,-9.76171875,0.260791016,-0.253613281,8.053588867,-7.669067383,-6.782531738
88,7.768226772,30,53.04958526,-9.530834961,0.239257813,-0.453393555,6.65435791,-10.47821045,-5.564880371
89,7.788893882,30,48.88424509,-9.514086914,0.340942383,-0.343334961,6.034851074,-6.878662109,-4.753112793
90,7.814816537,30,54.80464433,-9.618164063,0.748278809,-0.066394043,5.960083008,-8.576965332,-5.714416504
91,7.830417617,30,54.50043409,-9.546386719,0.54909668,-0.155517578,4.870605469,-8.406066895,-4.46472168
92,7.856498826,30,57.14472308,-9.119311523,0.442626953,-0.084338379,6.910705566,-6.590270996,-3.55682373
93,7.898436062,30,58.4083656,-9.882543945,0.635827637,-0.154919434,9.004211426,-9.548950195,-9.153747559
94,7.90369622,30,54.50043409,-9.773681641,0.535339355,0.221313477,5.511474609,-4.902648926,-6.451416016
95,7.930057236,30,52.7921766,-9.612182617,0.577807617,0.129199219,9.046936035,-7.177734375,-5.458068848
96,7.951218502,30,52.30076006,-9.428552246,0.436645508,0.16628418,6.301879883,-6.942749023,-3.813171387
97,7.977760976,30,55.57687031,-9.528442383,0.635229492,0.406738281,4.122924805,-5.10559082,-5.703735352
98,7.999067909,30,56.18529079,-9.305932617,0.77220459,0.477319336,6.355285645,-10.10437012,-5.233764648
99,8.020439903,30,55.2258585,-9.658239746,0.909179688,0.411523438,6.365966797,-9.901428223,-3.247070313
100,8.020439903,30,53.09638684,-9.537414551,0.985742188,0.258398438,5.586242676,-2.723693848,-5.201721191
101,8.057998045,30,57.02771914,-9.69173584,0.773999023,0.113647461,6.451416016,-6.964111328,-5.618286133
102,8.074155838,30,59.5316034,-9.924414063,0.915161133,0.320605469,-0.608825684,-6.622314453,-7.786560059
103,8.095757117,30,58.29136166,-9.520666504,0.840991211,0.403747559,5.062866211,-5.60760498,-4.774475098
104,8.128282774,30,57.87014749,-9.461450195,0.894824219,0.734521484,4.60357666,-6.280517578,-3.161621094
105,8.14460147,30,61.19305931,-9.721044922,1.044360352,0.64420166,7.722473145,-9.837341309,-8.651733398
106,8.171882355,30,58.01055221,-9.779064941,0.916955566,0.738110352,7.936096191,-6.547546387,-7.818603516
107,8.188300863,30,60.70164278,-9.37232666,1.108361816,0.586181641,4.635620117,-8.502197266,-4.28314209
108,8.204756957,30,62.92471759,-9.651660156,0.836206055,1.129296875,5.212402344,-4.689025879,-5.393981934
109,8.237782249,30,64.51597114,-9.450683594,0.97677002,0.234472656,4.710388184,-5.041503906,-1.965332031
110,8.25435162,30,63.95435224,-9.369934082,1.14185791,0.65736084,6.034851074,-9.121704102,-5.938720703
111,8.287604246,30,61.5908727,-9.256884766,1.308740234,0.170471191,7.946777344,-3.823852539,2.157592773
112,8.29316115,30,60.72504356,-9.92800293,0.697436523,0.62565918,5.46875,-7.092285156,-6.376647949
113,8.315431172,30,63.15872546,-9.517675781,0.947460938,1.296777344,8.555603027,-11.65313721,-7.637023926
114,8.315431172,30,67.2070617,-9.492553711,0.991723633,1.86920166,7.263183594,-13.25531006,-6.996154785
115,8.360175432,30,69.78114833,-9.104956055,0.886450195,2.297473145,6.846618652,-8.074951172,-3.791809082
116,8.382650085,30,67.46447036,-9.599621582,1.012658691,2.359082031,8.096313477,-5.223083496,-7.797241211
117,8.405193366,30,63.20552704,-9.399243164,1.217224121,2.093505859,9.495544434,-6.387329102,-6.312561035
118,8.416490807,30,63.60334043,-9.28918457,0.830822754,2.400952148,4.913330078,-5.009460449,-4.037475586
119,8.439137423,30,60.74844435,-9.43692627,0.832019043,2.11204834,6.932067871,0.512695313,0.662231445
120,8.473237072,30,62.62050735,-9.304736328,0.626257324,2.479907227,0.651550293,-11.69586182,-4.635620117
121,8.501772818,30,63.15872546,-9.1875,0.473132324,2.961413574,4.005432129,-9.43145752,-4.315185547
122,8.513217601,30,65.73281209,-9.673193359,1.28302002,1.89432373,5.639648438,-22.88970947,-6.643676758
123,8.541906008,30,65.28819713,-9.442907715,1.019238281,2.965002441,1.602172852,-12.79602051,-2.210998535
124,8.55341202,30,65.10099083,-9.141442871,0.503637695,2.997302246,5.618286133,-11.73858643,-9.474182129
125,8.564935585,30,62.48010263,-8.863305664,0.427075195,3.464453125,6.814575195,-11.22589111,-7.006835938
126,8.588035483,30,68.42390265,-9.241333008,0.736315918,3.739599609,4.64630127,-11.10839844,-10.09368896
127,8.611205918,30,64.14155854,-8.122802734,1.19987793,3.612792969,9.666442871,3.482055664,3.749084473
128,8.640268483,30,69.43013651,-8.589355469,1.105371094,3.409423828,3.578186035,-21.52252197,-6.611633301
129,8.657759261,30,71.77021526,-8.690441895,0.952246094,3.575109863,6.451416016,-8.715820313,-6.002807617
130,8.657759261,30,63.79054673,-9.097180176,0.622070313,4.849755859,2.200317383,-9.880065918,-1.997375488
131,8.692861033,30,60.04642073,-8.537316895,0.782373047,4.788146973,3.482055664,-1.100158691,-2.317810059
132,8.722235389,30,60.16342466,-8.432641602,0.888244629,4.359875488,2.296447754,-25.13275146,-8.288574219
133,8.751721907,30,61.26326168,-8.654553223,0.993518066,3.288598633,6.451416016,-11.4074707,-6.227111816
134,8.739913813,30,58.47856796,-8.587561035,0.736315918,3.781469727,10.30731201,-7.818603516,-6.782531738
135,8.799134705,30,59.99961915,-9.00925293,0.513208008,4.174450684,6.024169922,8.106994629,2.841186523
136,8.793192282,30,60.53783726,-8.792126465,1.207653809,3.853845215,1.036071777,-16.6519165,-22.15270996
137,8.816989174,30,60.02301994,-8.96439209,0.863720703,3.88614502,11.6104126,-11.92016602,-5.073547363
138,8.852820827,30,60.18682545,-9.605603027,0.815270996,4.012353516,10.28594971,-15.90423584,-5.276489258
139,8.852820827,30,79.02445939,-9.604406738,1.000695801,2.651574707,-0.801086426,19.66400146,2.990722656
140,8.876799797,30,60.81864671,-8.701208496,0.697436523,3.83470459,8.117675781,-11.15112305,-14.65454102
141,8.912905612,30,59.57840498,-8.731713867,1.048547363,3.92322998,2.275085449,-3.749084473,-3.225708008
142,8.924977624,30,70.17896171,-9.266455078,1.131091309,3.562548828,4.592895508,2.659606934,0.36315918
143,8.937068054,30,57.72974276,-8.997888184,0.551489258,4.164282227,1.174926758,-6.344604492,-8.544921875
144,8.961304277,30,55.06205299,-8.690441895,0.90020752,4.550085449,2.104187012,-6.494140625,-3.749084473
145,8.967374887,30,64.23516169,-9.134863281,1.351208496,4.078149414,3.877258301,-0.534057617,-2.531433105
146,8.991703654,30,52.37096243,-8.796911621,1.272253418,3.357385254,12.19787598,-19.68536377,-10.47821045
147,9.028336166,30,51.27112541,-8.190393066,0.227893066,4.588366699,2.734375,-12.43286133,-3.823852539
148,9.052851081,30,54.45363251,-8.832202148,0.117236328,4.349707031,6.056213379,1.751708984,-0.512695313
149,9.046715343,30,45.8655435,-8.833996582,0.219519043,4.094299316,7.88269043,-11.21520996,-5.447387695
150,9.07128638,30,53.26019235,-8.963793945,0.51739502,3.829919434,11.22589111,-6.15234375,-1.239013672
151,9.095932445,30,47.33979311,-8.39675293,0.230883789,4.973571777,1.516723633,-13.671875,-2.723693848
152,9.108283685,30,46.89517815,-9.062487793,0.79732666,3.802404785,5.169677734,-11.1831665,-8.843994141
153,9.133042724,30,37.32425606,-8.698217773,-0.147741699,4.290490723,6.120300293,-8.363342285,-7.65838623
154,9.14545058,30,36.43502614,-8.79152832,0.322399902,4.709790039,2.41394043,-5.276489258,-9.175109863
155,9.18278784,30,43.94667893,-8.889624023,0.044262695,3.021228027,9.5703125,-18.96972656,-12.3260498
156,9.189027335,30,32.36328911,-8.354882813,0.133984375,4.256994629,11.31134033,-12.90283203,-6.622314453
157,9.214032928,30,38.44749386,-8.560046387,0.43425293,3.722851563,9.730529785,9.463500977,7.754516602
158,9.232837219,30,36.6924348,-8.330957031,0.224902344,4.316809082,12.42218018,-25.58135986,-9.089660645
159,9.257976587,30,38.26028756,-8.770593262,0.156115723,4.756445313,-2.178955078,-1.409912109,2.23236084
160,9.276881477,30,51.03711754,-8.470324707,-0.156115723,3.491369629,18.76678467,-22.84698486,-20.57189941
161,9.289508775,30,33.20571746,-8.106652832,0.122619629,5.120117188,8.224487305,-20.63598633,-6.857299805
162,9.295829646,30,42.77663955,-8.457165527,0.290698242,4.513000488,7.690429688,-30.23834229,-38.01422119
163,9.327506372,30,27.12151271,-8.045043945,-0.156115723,5.358776855,9.538269043,-14.92156982,-8.085632324
164,9.346570436,30,50.07768525,-8.769396973,-0.071179199,4.34432373,12.34741211,-28.13415527,-28.17687988
165,9.352934818,30,29.67219855,-8.235253906,-0.373242188,5.762524414,5.799865723,-13.62915039,-10.43548584
166,9.365678143,30,47.85461044,-9.17434082,0.610705566,4.166674805,8.096313477,-14.86816406,-6.141662598
167,9.384829594,30,34.37575684,-8.06418457,0.011364746,5.249316406,9.217834473,-10.20050049,-8.181762695
168,9.410433078,30,49.63307029,-8.329760742,0.233276367,4.452587891,9.922790527,3.898620605,7.15637207
169,9.436114745,30,34.93737574,-8.333349609,-0.47253418,5.032788086,7.273864746,-2.809143066,-5.137634277
170,9.442547405,30,36.36482378,-7.867993164,-0.921142578,4.832409668,8.309936523,-7.722473145,-1.954650879
171,9.474784357,30,32.22288439,-8.41529541,-1.228588867,4.703808594,4.443359375,-6.130981445,-4.64630127
172,9.494185582,30,36.94984346,-8.357873535,-1.082641602,4.699023438,5.351257324,-6.29119873,-6.045532227
173,9.513631223,30,46.2399561,-8.386584473,-1.215429688,4.749865723,3.706359863,-7.327270508,-6.814575195
174,9.526619709,30,51.38812935,-8.73470459,-1.308740234,3.816760254,3.930664063,-5.906677246,-3.300476074
175,9.552656157,30,49.58626871,-8.480493164,-1.778881836,4.071569824,3.289794922,-6.910705566,-5.020141602
176,9.559177681,30,50.94351439,-7.923620605,-1.537231445,5.097387695,6.408691406,-8.544921875,-5.137634277
177,9.578772108,30,60.70164278,-8.634216309,-1.330273438,4.011755371,6.504821777,-0.395202637,-4.272460938
178,9.611529219,30,47.3631939,-8.46015625,-1.315917969,4.231872559,5.60760498,-7.359313965,-5.020141602
179,9.618095635,30,49.21185611,-8.573205566,-1.384106445,4.131384277,4.667663574,-6.045532227,-4.550170898
180,9.637824942,30,53.23679156,-8.669506836,-1.044958496,3.226989746,7.241821289,0,1.121520996
181,9.644411409,30,26.34928673,-7.719055176,2.79453125,-4.114038086,1.335144043,18.59588623,1.239013672
182,9.657599415,30,,,,
183,9.66420096,30,,,,
184,9.710552941,30,,,,
185,9.717194864,30,,,,
186,9.743813243,30,,,,
187,9.750480528,30,,,,
188,9.757152896,30,,,,
189,9.783893288,30,,,,
190,9.817433632,30,,,,
191,9.804002154,30,,,,
192,9.817433632,30,,,,
193,9.844358095,30,,,,
194,9.851102046,30,,,,
195,9.88489902,30,,,,
196,9.891673885,30,,,,
197,9.905239116,30,,,,
198,9.932431697,30,,,,
199,9.932431697,30,,,,
200,9.959707311,30,,,,
201,9.980218665,30,,,,
202,9.987066213,30,,,,
203,9.993918982,30,,,,
204,10.0076402,30,,,,
205,10.02138235,30,,,,
206,10.04892958,30,,,,
207,10.05582952,30,,,,
208,10.08348194,30,,,,
209,10.09040822,30,,,,
210,10.10427665,30,,,,
211,10.11816623,30,,,,
212,10.13904034,30,,,,
213,10.14600899,30,,,,
214,10.16694684,30,,,,
215,10.16694684,30,,,,
216,10.18093203,30,,,,
217,10.20194984,30,,,,
218,10.21598843,30,,,,
219,10.23004844,30,,,,
220,10.2441299,30,,,,
221,10.26529238,30,,,,
222,10.26529238,30,,,,
223,10.26529238,30,,,,
224,10.2935844,30,,,,
225,10.30067089,30,,,,
226,10.32907094,30,,,,
227,10.34330347,30,,,,
228,10.33618449,30,,,,
229,10.35755771,30,,,,
230,10.36469299,30,,,,
231,10.38613147,30,,,,
232,10.40045105,30,,,,
233,10.40761903,30,,,,
234,10.42197139,30,,,,
235,10.44354101,30,,,,
236,10.44354101,30,,,,
237,10.45794817,30,,,,
238,10.48682848,30,,,,
239,10.48682848,30,,,,
240,10.49406232,30,,,,
241,10.50854656,30,,,,
242,10.5230529,30,,,,
243,10.5230529,30,,,,
244,10.55213201,30,,,,
245,10.55213201,30,,,,
246,10.57399959,30,,,,
247,10.58129991,30,,,,
248,10.58860579,30,,,,
249,10.58860579,30,,,,
250,10.62521884,30,,,,
251,10.63255821,30,,,,
252,10.64725374,30,,,,
253,10.63990317,30,,,,
254,10.65460991,30,,,,
255,10.66933909,30,,,,
256,10.6767121,30,,,,
257,10.69886488,30,,,,
258,10.69886488,30,,,,
259,10.70626041,30,,,,
260,10.73589895,30,,,,
261,10.75075214,30,,,,
262,10.75818723,30,,,,
263,10.75818723,30,,,,
264,10.75818723,30,,,,
265,10.77307442,30,,,,
266,10.79544781,30,,,,
267,10.79544781,30,,,,
268,10.79544781,30,,,,
269,10.81787241,30,,,,
270,10.83285066,30,,,,
271,10.84785176,30,,,,
272,10.87039634,30,,,,
273,10.87792266,30,,,,
274,10.88545472,30,,,,
275,10.88545472,30,,,,
276,10.89299252,30,,,,
277,10.90808537,30,,,,
278,10.90808537,30,,,,
279,10.91564043,30,,,,
280,10.93834019,30,,,,
281,10.92320125,30,,,,
282,10.95350223,30,,,,
283,10.96109192,30,,,,
284,10.9686874,30,,,,
285,10.9915086,30,,,,
286,11.00675175,30,,,,
287,10.9915086,30,,,,
288,11.02966009,30,,,,
289,11.01438205,30,,,,
290,11.03730785,30,,,,
291,11.02966009,30,,,,
292,11.03730785,30,,,,
293,11.04496145,30,,,,
294,11.06795726,30,,,,
295,11.06795726,30,,,,
296,11.08331704,30,,,,
297,11.09100572,30,,,,
298,11.10640066,30,,,,
299,11.11410694,30,,,,
300,11.11410694,30,,,,
301,11.13726105,30,,,,
302,11.13726105,30,,,,
303,11.15272656,30,,,,
304,11.15272656,30,,,,
305,11.14499086,30,,,,
306,11.17596908,30,,,,
307,11.16821567,30,,,,
308,11.19149365,30,,,,
309,11.19149365,30,,,,
310,11.21482492,30,,,,
311,11.21482492,30,,,,
312,11.22261387,30,,,,
313,11.23040876,30,,,,
314,11.2382096,30,,,,
315,11.26164781,30,,,,
316,11.26164781,30,,,,
317,11.26947247,30,,,,
318,11.26947247,30,,,,
319,11.3008308,30,,,,
320,11.3008308,30,,,,
321,11.29298225,30,,,,
322,11.3008308,30,,,,
323,11.3008308,30,,,,
324,11.32441237,30,,,,
325,11.30868533,30,,,,
326,11.33228489,30,,,,
327,11.35593847,30,,,,
328,11.35593847,30,,,,
329,11.38756083,30,,,,
330,11.36383502,30,,,,
331,11.3954815,30,,,,
332,11.3954815,30,,,,
333,11.3954815,30,,,,
334,11.4034082,30,,,,
335,11.41927975,30,,,,
336,11.41134095,30,,,,
337,11.41927975,30,,,,
338,11.44313249,30,,,,
339,11.45906464,30,,,,
340,11.44313249,30,,,,
341,11.45109553,30,,,,
342,11.46703983,30,,,,
343,11.48300846,30,,,,
344,11.50700709,30,,,,
345,11.49900145,30,,,,
346,11.52303669,30,,,,
347,11.52303669,30,,,,
348,11.55516929,30,,,,
349,11.55516929,30,,,,
350,11.53909074,30,,,,
351,11.53909074,30,,,,
352,11.55516929,30,,,,
353,11.57127237,30,,,,
354,11.56321776,30,,,,
355,11.57127237,30,,,,
356,11.59547306,30,,,,
357,11.59547306,30,,,,
358,11.60355226,30,,,,
359,11.61163763,30,,,,
360,11.62782685,30,,,,
361,11.62782685,30,,,,
362,11.62782685,30,,,,
363,11.63593073,30,,,,
364,11.64404078,30,,,,
365,11.64404078,30,,,,
366,11.64404078,30,,,,
367,11.65215702,30,,,,
368,11.66027944,30,,,,
369,11.66027944,30,,,,
370,11.67654288,30,,,,
371,11.70098456,30,,,,
372,11.70914422,30,,,,
373,11.70098456,30,,,,
374,11.7254822,30,,,,
375,11.7254822,30,,,,
376,11.7173101,30,,,,
377,11.7173101,30,,,,
378,11.75003592,30,,,,
379,11.75003592,30,,,,
380,11.75823298,30,,,,
381,11.77464586,30,,,,
382,11.76643629,30,,,,
383,11.78286168,30,,,,
384,11.78286168,30,,,,
385,11.79108377,30,,,,
386,11.80754676,30,,,,
387,11.81578767,30,,,,
388,11.79108377,30,,,,
389,11.81578767,30,,,,
390,11.82403487,30,,,,
391,11.84881421,30,,,,
392,11.84881421,30,,,,
393,11.83228835,30,,,,
394,11.84881421,30,,,,
395,11.86536527,30,,,,
396,11.88194159,30,,,,
397,11.89023923,30,,,,
398,11.90685349,30,,,,
399,11.89854319,30,,,,
400,11.89854319,30,,,,
401,11.90685349,30,,,,
402,11.90685349,30,,,,
403,11.91517013,30,,,,
404,11.93182242,30,,,,
405,11.93182242,30,,,,
406,11.93182242,30,,,,
407,11.95684852,30,,,,
408,11.93182242,30,,,,
409,11.98193191,30,,,,
410,11.99030579,30,,,,
411,11.9735644,30,,,,
412,11.99030579,30,,,,
413,11.99030579,30,,,,
414,11.99030579,30,,,,
415,12.02386522,30,,,,
416,11.99868606,30,,,,
417,12.00707272,30,,,,
418,12.03227108,30,,,,
419,12.04910203,30,,,,
420,12.04910203,30,,,,
421,12.04910203,30,,,,
422,12.06595866,30,,,,
423,12.06595866,30,,,,
424,12.082841,30,,,,
425,12.06595866,30,,,,
426,12.09129183,30,,,,
427,12.09129183,30,,,,
428,12.10821282,30,,,,
429,12.11668299,30,,,,
430,12.10821282,30,,,,
431,12.13364272,30,,,,
432,12.14213229,30,,,,
433,12.14213229,30,,,,
434,12.13364272,30,,,,
435,12.17615533,30,,,,
436,12.19320579,30,,,,
437,12.17615533,30,,,,
438,12.18467731,30,,,,
439,12.19320579,30,,,,
440,12.21883027,30,,,,
441,12.21028226,30,,,,
442,12.22738479,30,,,,
443,12.23594583,30,,,,
