seconds,force (gF),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec),temp (C),,
56,18.84933433,0.086132813,2.31272583,-8.888128662,-6.189727783,-36.79122925,-9.468841553,8.504637283,,
57,28.16284776,-0.034094238,0.999200439,-8.697918701,-33.83255005,21.14334106,16.84417725,8.567863739,,
58,30.11681351,1.934997559,1.886248779,-9.366046143,22.66540527,5.634307861,-8.048248291,8.619926895,,
59,8.740194131,0.352307129,2.568731689,-9.148321533,26.15814209,22.10464478,-1.457977295,8.666520217,,
60,20.75649851,0.912469482,1.470837402,-9.275726318,-8.758544922,-6.398010254,-1.041412354,8.710474451,,
61,21.97333946,2.133282471,2.356689453,-8.736798096,11.6317749,17.57049561,9.260559082,8.775401202,,
62,20.54589143,0.180938721,1.399060059,-8.909960938,2.947998047,-36.88735962,-4.89730835,8.825945939,,
63,22.17224616,0.355297852,2.878271484,-9.034075928,2.216339111,8.3152771,-2.632904053,8.873803573,,
64,26.10357846,0.210546875,2.435644531,-10.60839233,0.555419922,-9.511566162,-9.837341309,8.903878022,,
65,26.0216757,1.672711182,2.477514648,-9.387280273,-6.371307373,-46.21734619,8.283233643,8.940098732,,
66,20.70969694,1.062304688,1.857537842,-8.721246338,23.15139771,11.92550659,-6.590270996,8.961304277,,
67,19.14184418,1.791143799,2.776885986,-8.661730957,4.769134521,-2.456665039,0.443267822,9.01001991,,
68,19.01313984,0.712689209,3.284411621,-8.42845459,4.165649414,13.47961426,-14.15786743,9.062078098,,
69,21.99674025,1.162792969,2.999694824,-9.126489258,18.40896606,-6.045532227,1.319122314,9.095941852,,
70,24.64102924,1.060809326,3.062200928,-9.291577148,-12.42752075,-21.07391357,-3.813171387,9.126848246,,
71,30.8890395,-0.250622559,3.002685547,-8.911157227,-6.632995605,-32.80181885,-20.47576904,9.167215232,,
72,35.61599858,3.621765137,1.566241455,-10.05540771,4.331207275,-32.81784058,-4.432678223,9.22660258,,
73,8.915700038,0.74588623,2.043560791,-10.1828125,54.27093506,-3.289794922,31.50405884,9.295868204,,
74,23.98580719,1.662542725,2.359082031,-8.78494873,-6.120300293,2.510070801,-14.9269104,9.365717026,,
75,28.33835366,-0.387896729,1.35569458,-9.961798096,8.609008789,9.901428223,-14.5904541,9.445795629,,
76,31.36875564,1.064398193,2.263378906,-9.296362305,22.7935791,-21.64001465,8.010864258,9.5006724,,
77,31.88357297,1.361676025,1.996307373,-9.063983154,8.854675293,0.534057617,-0.218963623,9.552678517,,
78,23.78690049,1.698132324,2.479309082,-9.2284729,-11.48757935,-5.661010742,-9.949493408,9.604970305,,
79,27.97564146,0.311932373,2.362969971,-9.800598145,-3.519439697,-7.829284668,-9.004211426,9.637827451,,
80,20.7798993,1.122418213,2.696435547,-9.268847656,-0.550079346,7.514190674,-4.320526123,9.674143585,,
81,28.99357571,-0.961816406,3.687860107,-8.693432617,-6.002807617,-1.767730713,-10.55297852,9.7238824,,
82,27.48422492,0.849963379,3.300262451,-9.3050354,15.20462036,-15.37017822,5.5809021,9.767186908,,
83,18.32281661,-0.041271973,3.239849854,-9.201855469,34.25445557,16.83349609,1.708984375,9.810715334,,
84,33.40462416,0.584088135,2.901898193,-8.883642578,-7.904052734,-25.83770752,-13.34609985,9.857853714,,
85,31.14644816,0.881066895,2.375231934,-9.067272949,9.976196289,13.58642578,-0.395202637,9.881529648,,
86,37.96777772,0.96361084,3.224597168,-8.874371338,1.596832275,-17.39425659,-2.55279541,9.918835407,,
87,21.70423041,1.878173828,2.26786499,-9.529040527,-0.064086914,-5.025482178,-3.78112793,9.95629396,,
88,38.78680528,1.064099121,2.229882813,-9.080731201,-7.722473145,-42.6071167,-11.45553589,9.983642439,,
89,24.31341821,0.483300781,2.560955811,-9.317297363,14.70794678,3.871917725,0.982666016,10.01796122,,
90,31.38045604,-0.159405518,3.495257568,-8.934783936,-9.586334229,-7.791900635,-5.794525146,10.05584004,,
91,24.24321585,1.308441162,2.133282471,-9.290380859,4.747772217,-18.60122681,7.252502441,10.06622156,,
92,18.80253276,1.130792236,2.219415283,-9.755737305,6.195068359,-8.897399902,3.038787842,10.12164259,,
93,42.01611396,0.115441895,1.970288086,-9.273034668,-6.414031982,5.65032959,-14.94293213,10.12859798,,
94,24.48892412,2.059112549,2.228387451,-9.229370117,11.11373901,-17.12188721,12.57705688,10.1564726,,
95,35.67450054,0.942077637,2.058813477,-9.480291748,-1.789093018,-11.74926758,-6.7237854,10.17743974,,
96,29.08717886,-0.317913818,2.73651123,-8.959307861,11.25259399,-20.56655884,3.369903564,10.20194984,,
97,21.06070875,0.396868896,3.010760498,-9.044842529,13.16452026,19.76547241,10.33401489,10.23004844,,
98,36.61053204,0.556274414,3.015545654,-9.16237793,-19.50378418,9.009552002,-15.38085938,10.25117868,,
99,26.43118948,-1.185223389,3.433947754,-9.116021729,23.53057861,16.03775024,4.486083984,10.27589245,,
100,23.89220404,1.780377197,2.157806396,-9.209332275,-1.890563965,5.986785889,-8.544921875,10.3077736,,
101,30.59652966,1.38470459,2.963806152,-9.174639893,-4.272460938,7.749176025,2.018737793,10.3148628,,
102,32.21118399,2.230181885,2.384802246,-9.024505615,3.818511963,-12.68386841,-9.783935547,10.33618721,,
103,33.45142573,1.104473877,2.975769043,-9.435131836,-2.851867676,-8.699798584,-11.64779663,10.33618449,,

