seconds,force (gF),temp (C),motor (%),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2),gyro_thx (deg/sec),gyro_thy (deg/sec),gyro_thz (deg/sec)
31,7.535053575,8.304287674,30,7.099975586,-5.69732666,5.813964844,-37.54425049,39.15710449,13.61846924
32,38.26028756,8.348963775,30,10.20075684,-4.541711426,4.777380371,-43.87817383,-9.93347168,25.69885254
33,40.36635844,8.371404193,30,7.320092773,-1.649682617,6.510803223,23.66943359,1.473999023,-8.88671875
34,28.29155209,8.399551101,30,7.687353516,0.723754883,4.26776123,-6.184387207,-9.132385254,-4.988098145
35,37.27745449,8.433469294,30,7.159191895,-3.628344727,6.541308594,2.210998535,32.55615234,13.71459961
36,38.5644978,8.467542962,30,6.988122559,-3.259887695,6.195581055,6.632995605,-6.47277832,-2.488708496
37,37.04344661,8.490345467,30,7.070666504,-3.436340332,6.062792969,4.208374023,-6.97479248,-6.269836426
38,33.5099277,8.490345467,30,7.175939941,-3.276037598,6.01015625,5.960083008,-6.536865234,-6.323242188
39,28.75956784,8.496056965,30,7.096984863,-3.334057617,6.033483887,-0.480651855,-7.102966309,-7.65838623
40,26.11527885,8.524679846,30,7.650866699,-2.966796875,6.255993652,8.662414551,-8.694458008,-7.669067383
41,17.24638039,8.536159577,30,7.472619629,-1.742993164,5.484387207,22.88970947,-11.41815186,-15.97900391
42,19.93747095,8.570703958,30,7.864404297,-2.53972168,5.161987305,2.424621582,-10.72387695,-5.938720703
43,15.58492448,8.605406685,30,7.341625977,-1.803405762,5.585473633,-6.782531738,-4.859924316,-0.106811523
44,14.36808353,8.628630164,30,7.805187988,-2.383605957,5.486181641,12.2833252,-9.164428711,-8.641052246
45,16.73156306,8.651924557,30,7.797412109,-2.674902344,5.383898926,10.9375,-8.854675293,-6.440734863
46,17.2229796,8.675290081,30,6.905578613,-1.466052246,4.907177734,-22.53723145,-6.632995605,5.020141602
47,28.2681513,8.716351559,30,8.182617188,-2.678491211,4.953833008,16.82281494,3.535461426,-3.834533691
48,23.49439065,8.734016513,30,7.844665527,-2.397961426,4.952038574,39.57366943,-3.674316406,-8.811950684
49,27.1449135,8.751721907,30,6.726135254,-0.705212402,4.853344727,23.11401367,6.259155273,-31.93664551
50,28.33835366,8.775392167,30,8.554663086,-0.924133301,4.746276855,17.9977417,-3.150939941,-7.615661621
51,32.48029305,8.816989174,30,7.60480957,-1.524072266,4.61887207,-18.93768311,-11.34338379,-0.662231445
52,24.31341821,8.870798199,30,8.41529541,-3.191101074,6.529943848,10.9588623,48.63128662,-44.10247803
53,8.283878775,8.894832064,30,7.658044434,-5.196081543,5.102770996,-8.192443848,0.54473877,-3.91998291
54,35.82660566,8.906876503,30,7.668811035,-1.117932129,5.950939941,28.14483643,-18.43566895,-16.67327881
55,33.93114188,8.937068054,30,7.363757324,-3.518884277,5.432946777,5.158996582,25.69885254,19.70672607
56,36.17761748,8.967374887,30,7.59822998,-3.280224609,6.704003906,27.22625732,-44.72198486,-12.24060059
57,35.70960173,8.967374887,30,5.674597168,0.038879395,6.84576416,34.72442627,14.18457031,-25.92315674
58,28.8297702,8.985614506,30,7.50970459,-0.971984863,6.837988281,15.13519287,-107.7194214,-59.28039551
59,13.90006778,9.028336166,30,8.755639648,2.247229004,2.995507813,-6.910705566,-6.355285645,-6.024169922
60,10.46015201,9.065136596,30,7.495947266,-0.704016113,5.656652832,15.9576416,-5.126953125,-10.74523926
61,13.71286148,9.102105712,30,7.15859375,-2.771801758,6.909765625,-76.46636963,1.933288574,-8.833312988
62,12.40241738,9.126845885,30,7.508508301,-0.845178223,5.806787109,5.83190918,-11.41815186,-10.21118164
63,8.51788665,9.176553099,30,7.355383301,-0.21652832,5.746972656,9.132385254,-6.034851074,-3.118896484
64,12.9172347,9.195271588,30,7.444506836,-0.555078125,5.950939941,43.09844971,-3.257751465,-13.45825195
65,11.13877485,9.201520602,30,7.003674316,0.339147949,5.393469238,16.59851074,-2.894592285,-17.60253906
66,11.20897721,9.214032928,30,7.318896484,1.15501709,5.351000977,66.50085449,-6.248474121,-11.72790527
67,14.25107959,9.239114877,30,8.493652344,-0.225500488,5.406030273,-24.67346191,-9.858703613,2.200317383
68,19.04824103,9.264273415,30,6.562841797,-1.403845215,4.723547363,62.50610352,-11.98425293,-16.20330811
69,22.88597018,9.28319272,30,7.412805176,-0.588574219,7.690942383,17.43164063,5.810546875,-18.32885742
70,14.43828589,9.295829646,30,7.207641602,1.71607666,6.085522461,18.30749512,-23.42376709,-12.87078857
